CustomerId	Obec	Okres	Kraj	Count
60	Plch	Pardubice	Pardubický kraj	3
61	Poběžovice u Holic	Pardubice	Pardubický kraj	9
62	Poběžovice u Přelouče	Pardubice	Pardubický kraj	1
63	Podůlšany	Pardubice	Pardubický kraj	7
64	Pravy	Pardubice	Pardubický kraj	2
65	Přelouč	Pardubice	Pardubický kraj	1
66	Přelovice	Pardubice	Pardubický kraj	4
67	Přepychy	Pardubice	Pardubický kraj	7
68	Ráby	Pardubice	Pardubický kraj	3
69	Rohovládova Bělá	Pardubice	Pardubický kraj	1
70	Rohoznice	Pardubice	Pardubický kraj	10
71	Rokytno	Pardubice	Pardubický kraj	8
72	Rybitví	Pardubice	Pardubický kraj	5
73	Řečany nad Labem	Pardubice	Pardubický kraj	8
74	Selmice	Pardubice	Pardubický kraj	4
75	Semín	Pardubice	Pardubický kraj	4
76	Sezemice	Pardubice	Pardubický kraj	4
77	Slepotice	Pardubice	Pardubický kraj	9
78	Sopřeč	Pardubice	Pardubický kraj	4
79	Sovolusky	Pardubice	Pardubický kraj	9
80	Spojil	Pardubice	Pardubický kraj	8
81	Srch	Pardubice	Pardubický kraj	7
82	Srnojedy	Pardubice	Pardubický kraj	7
83	Staré Hradiště	Pardubice	Pardubický kraj	3
84	Staré Jesenčany	Pardubice	Pardubický kraj	6
85	Staré Ždánice	Pardubice	Pardubický kraj	4
86	Starý Mateřov	Pardubice	Pardubický kraj	9
87	Stéblová	Pardubice	Pardubický kraj	6
88	Stojice	Pardubice	Pardubický kraj	5
89	Strašov	Pardubice	Pardubický kraj	4
90	Svinčany	Pardubice	Pardubický kraj	9
91	Svojšice	Pardubice	Pardubický kraj	2
92	Tetov	Pardubice	Pardubický kraj	10
93	Trnávka	Pardubice	Pardubický kraj	2
94	Trusnov	Pardubice	Pardubický kraj	1
95	Třebosice	Pardubice	Pardubický kraj	2
96	Turkovice	Pardubice	Pardubický kraj	6
97	Uhersko	Pardubice	Pardubický kraj	4
98	Úhřetická Lhota	Pardubice	Pardubický kraj	9
99	Újezd u Přelouče	Pardubice	Pardubický kraj	4
100	Újezd u Sezemic	Pardubice	Pardubický kraj	5
101	Urbanice	Pardubice	Pardubický kraj	3
102	Valy	Pardubice	Pardubický kraj	5
103	Vápno	Pardubice	Pardubický kraj	4
104	Veliny	Pardubice	Pardubický kraj	7
105	Veselí	Pardubice	Pardubický kraj	7
106	Vlčí Habřina	Pardubice	Pardubický kraj	1
107	Voleč	Pardubice	Pardubický kraj	9
108	Vysoké Chvojno	Pardubice	Pardubický kraj	1
109	Vyšehněvice	Pardubice	Pardubický kraj	1
110	Zdechovice	Pardubice	Pardubický kraj	4
111	Žáravice	Pardubice	Pardubický kraj	10
112	Živanice	Pardubice	Pardubický kraj	10
